L, J, Vol, γ, λ1, Λ1
5.8481e+02, 1.2177e+03, -8.2443e-02, 7.5000e-02, -7.6141e+03, 1.5068e+03
5.9156e+02, 1.3380e+03, -9.9005e-02, 7.5000e-02, -7.4649e+03, 1.5068e+03
6.0767e+02, 1.2026e+03, -8.0346e-02, 7.5000e-02, -7.3438e+03, 1.6574e+03
6.1528e+02, 1.3377e+03, -9.9494e-02, 7.5000e-02, -7.1789e+03, 1.6574e+03
6.2624e+02, 1.1901e+03, -7.9265e-02, 7.5000e-02, -7.0475e+03, 1.6574e+03
6.3899e+02, 1.3207e+03, -9.7859e-02, 7.5000e-02, -6.8853e+03, 1.6574e+03
6.4979e+02, 1.1655e+03, -7.5583e-02, 7.5000e-02, -6.7601e+03, 1.6574e+03
6.7028e+02, 1.3036e+03, -9.4782e-02, 7.5000e-02, -6.6030e+03, 1.8232e+03
6.7606e+02, 1.1671e+03, -7.5152e-02, 7.5000e-02, -6.4660e+03, 1.8232e+03
6.9668e+02, 1.1162e+03, -6.5485e-02, 7.5000e-02, -6.3466e+03, 1.8232e+03
6.9613e+02, 1.2026e+03, -8.0746e-02, 7.5000e-02, -6.1994e+03, 1.8232e+03
7.1961e+02, 1.0795e+03, -5.8560e-02, 7.5000e-02, -6.0926e+03, 1.8232e+03
7.3004e+02, 1.2190e+03, -8.1235e-02, 7.5000e-02, -5.9445e+03, 2.0055e+03
7.3965e+02, 1.1013e+03, -6.1470e-02, 7.5000e-02, -5.8212e+03, 2.0055e+03
7.5241e+02, 1.0560e+03, -5.2626e-02, 7.5000e-02, -5.7157e+03, 2.0055e+03
7.5217e+02, 1.1451e+03, -6.9600e-02, 7.5000e-02, -5.5761e+03, 2.0055e+03
7.6705e+02, 1.0490e+03, -5.1026e-02, 7.5000e-02, -5.4738e+03, 2.0055e+03
7.6904e+02, 1.0488e+03, -5.1596e-02, 7.5000e-02, -5.3703e+03, 2.2061e+03
7.7093e+02, 1.0374e+03, -5.0130e-02, 7.5000e-02, -5.2597e+03, 2.2061e+03
7.7430e+02, 1.0452e+03, -5.2073e-02, 7.5000e-02, -5.1448e+03, 2.2061e+03
7.8578e+02, 9.9314e+02, -4.0658e-02, 7.5000e-02, -5.0551e+03, 2.2061e+03
8.0044e+02, 1.1206e+03, -6.4233e-02, 7.5000e-02, -4.9134e+03, 2.2061e+03
7.9844e+02, 1.0184e+03, -4.5218e-02, 7.5000e-02, -4.8137e+03, 2.4267e+03
8.0943e+02, 9.6772e+02, -3.3162e-02, 7.5000e-02, -4.7332e+03, 2.4267e+03
8.0275e+02, 1.0211e+03, -4.6680e-02, 7.5000e-02, -4.6199e+03, 2.4267e+03
8.1411e+02, 9.4036e+02, -2.7526e-02, 7.5000e-02, -4.5531e+03, 2.4267e+03
8.2372e+02, 1.0447e+03, -4.9191e-02, 7.5000e-02, -4.4337e+03, 2.4267e+03
8.2314e+02, 9.6879e+02, -3.3150e-02, 7.5000e-02, -4.3533e+03, 2.6693e+03
8.3130e+02, 9.2838e+02, -2.2454e-02, 7.5000e-02, -4.2934e+03, 2.6693e+03
8.2274e+02, 9.5836e+02, -3.1904e-02, 7.5000e-02, -4.2082e+03, 2.6693e+03
8.2865e+02, 9.0961e+02, -1.9358e-02, 7.5000e-02, -4.1565e+03, 2.6693e+03
8.2994e+02, 9.8712e+02, -3.8285e-02, 7.5000e-02, -4.0543e+03, 2.6693e+03
8.3344e+02, 9.1611e+02, -2.0528e-02, 7.5000e-02, -3.9995e+03, 2.9363e+03
8.3790e+02, 8.9127e+02, -1.3410e-02, 7.5000e-02, -3.9602e+03, 2.9363e+03
8.3470e+02, 9.4887e+02, -2.9146e-02, 7.5000e-02, -3.8746e+03, 2.9363e+03
8.4099e+02, 8.8893e+02, -1.2432e-02, 7.5000e-02, -3.8381e+03, 2.9363e+03
8.3783e+02, 8.9276e+02, -1.4390e-02, 7.5000e-02, -3.7958e+03, 2.9363e+03
8.3243e+02, 8.7689e+02, -1.1768e-02, 7.5000e-02, -3.7613e+03, 3.2299e+03
8.3130e+02, 9.4423e+02, -3.0421e-02, 7.5000e-02, -3.6630e+03, 3.2299e+03
8.2719e+02, 8.6522e+02, -1.0429e-02, 7.5000e-02, -3.6293e+03, 3.2299e+03
8.2642e+02, 9.2964e+02, -2.8811e-02, 7.5000e-02, -3.5363e+03, 3.2299e+03
8.2269e+02, 8.5863e+02, -1.0212e-02, 7.5000e-02, -3.5033e+03, 3.2299e+03
8.2445e+02, 9.1950e+02, -2.7478e-02, 7.5000e-02, -3.4145e+03, 3.5529e+03
8.2033e+02, 8.5127e+02, -9.1039e-03, 7.5000e-02, -3.3822e+03, 3.5529e+03
8.2604e+02, 9.1241e+02, -2.5890e-02, 7.5000e-02, -3.2902e+03, 3.5529e+03
8.1944e+02, 8.4419e+02, -7.5518e-03, 7.5000e-02, -3.2634e+03, 3.5529e+03
8.2288e+02, 8.8406e+02, -1.8941e-02, 5.6250e-02, -3.1961e+03, 3.5529e+03
8.1946e+02, 8.3636e+02, -5.3029e-03, 5.6250e-02, -3.1772e+03, 3.5529e+03
8.2287e+02, 8.7223e+02, -1.5671e-02, 5.6250e-02, -3.1216e+03, 3.5529e+03
8.1959e+02, 8.2554e+02, -1.9082e-03, 5.6250e-02, -3.1148e+03, 3.5529e+03
8.2430e+02, 8.7389e+02, -1.6070e-02, 5.6250e-02, -3.0577e+03, 3.5529e+03
8.1965e+02, 8.2429e+02, -1.5197e-03, 5.6250e-02, -3.0523e+03, 3.5529e+03
